Adoption,Died,Euthanasia,ID,Return_to_owner,Transfer
0.0,0.0,0.145,89,0.01,0.845
0.495,0.0,0.0,90,0.015,0.49
0.0,0.0,0.105,91,0.0,0.895
0.0,0.0,0.02,92,0.0,0.98
0.745,0.0,0.005,93,0.01,0.24
0.39,0.0,0.04,94,0.36,0.21
0.03,0.01,0.02,95,0.0,0.94
0.565,0.0,0.0,96,0.225,0.21
0.33,0.0,0.05,97,0.425,0.195
0.0,0.0,0.005,98,0.0,0.995
0.27,0.025,0.03,99,0.005,0.67
0.365,0.0,0.015,100,0.36,0.26
0.605,0.0,0.01,101,0.005,0.38
0.88,0.005,0.005,102,0.06,0.05
0.245,0.0,0.055,103,0.25,0.45
0.39,0.0,0.005,104,0.205,0.4
0.44,0.0,0.0,105,0.34,0.22
0.705,0.0,0.005,106,0.11,0.18
0.455,0.0,0.055,107,0.38,0.11
0.015,0.0,0.045,108,0.67,0.27
0.92,0.0,0.015,109,0.0,0.065
0.34,0.0,0.025,110,0.33,0.305
0.245,0.0,0.03,111,0.35,0.375
0.55,0.0,0.05,112,0.185,0.215
0.32,0.0,0.025,113,0.525,0.13
0.325,0.0,0.04,114,0.435,0.2
0.0,0.005,0.0,115,0.0,0.995
0.5,0.0,0.005,116,0.105,0.39
0.76,0.0,0.0,117,0.19,0.05
0.05,0.005,0.105,118,0.615,0.225
0.145,0.005,0.07,119,0.505,0.275
0.65,0.01,0.035,120,0.145,0.16
0.755,0.0,0.0,121,0.005,0.24
0.81,0.0,0.015,122,0.015,0.16
0.985,0.0,0.0,123,0.005,0.01
0.0,0.045,0.005,124,0.0,0.95
0.0,0.005,0.02,125,0.005,0.97
0.865,0.0,0.0,126,0.05,0.085
0.02,0.005,0.005,127,0.005,0.965
0.855,0.0,0.0,128,0.025,0.12
0.99,0.0,0.0,129,0.0,0.01
0.93,0.0,0.005,130,0.065,0.0
0.57,0.0,0.015,131,0.355,0.06
1.0,0.0,0.0,132,0.0,0.0
0.81,0.0,0.01,133,0.0,0.18
0.3,0.0,0.02,134,0.45,0.23
0.285,0.0,0.05,135,0.125,0.54
0.605,0.0,0.005,136,0.385,0.005
0.34,0.0,0.04,137,0.125,0.495
0.0,0.0,0.025,138,0.0,0.975
0.325,0.0,0.03,139,0.5,0.145
0.075,0.0,0.03,140,0.11,0.785
0.515,0.005,0.01,141,0.175,0.295
0.19,0.025,0.015,142,0.0,0.77
0.21,0.0,0.06,143,0.445,0.285
0.51,0.0,0.035,144,0.31,0.145
0.26,0.005,0.07,145,0.465,0.2
0.36,0.0,0.075,146,0.46,0.105
0.475,0.01,0.115,147,0.175,0.225
0.385,0.0,0.015,148,0.535,0.065
0.0,0.005,0.0,149,0.0,0.995
0.02,0.0,0.025,150,0.0,0.955
0.305,0.005,0.125,151,0.195,0.37
0.025,0.0,0.095,152,0.005,0.875
0.515,0.005,0.01,153,0.09,0.38
0.045,0.0,0.065,154,0.155,0.735
0.735,0.0,0.0,155,0.03,0.235
0.74,0.0,0.0,156,0.11,0.15
0.45,0.0,0.02,157,0.355,0.175
0.0,0.01,0.0,158,0.0,0.99
0.13,0.0,0.005,159,0.235,0.63
0.49,0.0,0.005,160,0.31,0.195
0.68,0.0,0.015,161,0.145,0.16
0.58,0.0,0.015,162,0.165,0.24
0.0,0.005,0.0,163,0.0,0.995
1.0,0.0,0.0,164,0.0,0.0
0.24,0.0,0.05,165,0.46,0.25
0.865,0.0,0.0,166,0.0,0.135
0.585,0.0,0.015,167,0.31,0.09
0.58,0.0,0.025,168,0.235,0.16
0.405,0.0,0.005,169,0.555,0.035
0.42,0.0,0.0,170,0.05,0.53
0.0,0.0,0.04,171,0.0,0.96
0.55,0.0,0.02,172,0.165,0.265
0.35,0.0,0.1,173,0.435,0.115
0.48,0.0,0.07,174,0.285,0.165
0.365,0.0,0.015,175,0.555,0.065
0.08,0.005,0.025,176,0.005,0.885
0.415,0.0,0.08,177,0.285,0.22
0.76,0.005,0.02,178,0.185,0.03
0.585,0.045,0.0,179,0.065,0.305
0.01,0.02,0.105,180,0.095,0.77
0.0,0.0,0.015,181,0.0,0.985
0.725,0.0,0.0,182,0.015,0.26
0.34,0.0,0.005,183,0.22,0.435
0.13,0.0,0.11,184,0.215,0.545
0.565,0.0,0.005,185,0.315,0.115
0.285,0.0,0.035,186,0.375,0.305
0.005,0.005,0.0,187,0.0,0.99
0.48,0.0,0.045,188,0.235,0.24
0.72,0.0,0.0,189,0.075,0.205
0.98,0.0,0.0,190,0.01,0.01
0.655,0.0,0.005,191,0.255,0.085
0.43,0.0,0.03,192,0.37,0.17
0.155,0.0,0.075,193,0.275,0.495
0.475,0.0,0.015,194,0.095,0.415
0.725,0.0,0.0,195,0.02,0.255
0.525,0.055,0.0,196,0.015,0.405
0.61,0.0,0.02,197,0.33,0.04
0.52,0.0,0.025,198,0.36,0.095
0.305,0.0,0.055,199,0.445,0.195
0.355,0.0,0.04,200,0.255,0.35
0.0,0.0,0.0,201,0.0,1.0
0.295,0.0,0.02,202,0.095,0.59
0.785,0.0,0.0,203,0.17,0.045
0.69,0.0,0.01,204,0.17,0.13
0.06,0.0,0.37,205,0.325,0.245
0.485,0.0,0.03,206,0.04,0.445
0.21,0.0,0.01,207,0.21,0.57
0.255,0.0,0.07,208,0.515,0.16
0.485,0.0,0.01,209,0.235,0.27
0.55,0.0,0.01,210,0.37,0.07
0.0,0.0,0.025,211,0.0,0.975
0.33,0.015,0.09,212,0.41,0.155
0.455,0.0,0.02,213,0.42,0.105
0.6,0.005,0.03,214,0.21,0.155
0.0,0.035,0.02,215,0.0,0.945
0.535,0.005,0.01,216,0.115,0.335
0.91,0.0,0.0,217,0.005,0.085
0.055,0.01,0.055,218,0.03,0.85
0.6,0.0,0.015,219,0.09,0.295
0.305,0.0,0.02,220,0.525,0.15
0.005,0.0,0.045,221,0.565,0.385
0.01,0.02,0.02,222,0.0,0.95
0.265,0.16,0.075,223,0.04,0.46
0.495,0.0,0.005,224,0.325,0.175
0.195,0.005,0.085,225,0.56,0.155
0.755,0.0,0.005,226,0.11,0.13
0.035,0.02,0.25,227,0.0,0.695
0.0,0.0,0.0,228,0.0,1.0
0.59,0.0,0.015,229,0.25,0.145
0.0,0.0,0.0,230,0.0,1.0
0.915,0.0,0.0,231,0.085,0.0
0.925,0.0,0.0,232,0.06,0.015
0.0,0.0,0.015,233,0.0,0.985
0.08,0.0,0.225,234,0.495,0.2
0.325,0.005,0.1,235,0.425,0.145
0.895,0.0,0.0,236,0.0,0.105
0.36,0.0,0.03,237,0.465,0.145
0.055,0.03,0.19,238,0.06,0.665
0.79,0.0,0.0,239,0.195,0.015
0.745,0.0,0.015,240,0.07,0.17
0.98,0.0,0.0,241,0.01,0.01
0.4,0.0,0.02,242,0.44,0.14
0.95,0.0,0.0,243,0.0,0.05
0.27,0.005,0.025,244,0.255,0.445
0.31,0.0,0.12,245,0.195,0.375
0.485,0.0,0.01,246,0.285,0.22
0.21,0.0,0.01,247,0.05,0.73
0.49,0.0,0.0,248,0.145,0.365
0.315,0.0,0.035,249,0.46,0.19
0.8,0.005,0.0,250,0.005,0.19
0.0,0.005,0.01,251,0.93,0.055
0.455,0.0,0.035,252,0.45,0.06
0.0,0.0,0.095,253,0.005,0.9
0.245,0.0,0.105,254,0.47,0.18
0.0,0.0,0.015,255,0.0,0.985
0.435,0.0,0.005,256,0.18,0.38
0.2,0.005,0.08,257,0.185,0.53
0.7,0.0,0.005,258,0.05,0.245
0.315,0.025,0.015,259,0.455,0.19
0.92,0.0,0.0,260,0.035,0.045
0.67,0.0,0.005,261,0.155,0.17
0.635,0.0,0.035,262,0.195,0.135
0.795,0.0,0.0,263,0.03,0.175
0.275,0.0,0.035,264,0.35,0.34
0.235,0.0,0.02,265,0.44,0.305
0.235,0.0,0.065,266,0.225,0.475
0.0,0.02,0.04,267,0.02,0.92
0.005,0.005,0.385,268,0.075,0.53
0.0,0.0,0.0,269,0.0,1.0
0.94,0.005,0.0,270,0.04,0.015
0.01,0.0,0.035,271,0.0,0.955
0.23,0.12,0.295,272,0.025,0.33
0.06,0.0,0.03,273,0.405,0.505
0.27,0.0,0.085,274,0.265,0.38
0.35,0.015,0.375,275,0.125,0.135
0.0,0.02,0.19,276,0.0,0.79
0.0,0.01,0.0,277,0.0,0.99
0.135,0.05,0.1,278,0.11,0.605
0.195,0.0,0.0,279,0.235,0.57
0.07,0.0,0.055,280,0.11,0.765
0.265,0.0,0.025,281,0.255,0.455
0.385,0.0,0.02,282,0.48,0.115
0.0,0.0,0.005,283,0.005,0.99
0.795,0.0,0.0,284,0.0,0.205
0.175,0.0,0.055,285,0.535,0.235
0.475,0.0,0.03,286,0.295,0.2
0.005,0.01,0.01,287,0.0,0.975
0.0,0.0,0.025,288,0.0,0.975
0.43,0.0,0.01,289,0.32,0.24
0.425,0.0,0.035,290,0.32,0.22
0.95,0.0,0.015,291,0.015,0.02
0.965,0.0,0.0,292,0.0,0.035
0.895,0.0,0.0,293,0.03,0.075
0.005,0.0,0.35,294,0.01,0.635
0.265,0.0,0.05,295,0.61,0.075
0.01,0.005,0.035,296,0.01,0.94
0.385,0.005,0.025,297,0.465,0.12
0.1,0.0,0.18,298,0.27,0.45
0.51,0.0,0.025,299,0.21,0.255
0.28,0.0,0.01,300,0.165,0.545
0.54,0.005,0.005,301,0.445,0.005
0.81,0.0,0.0,302,0.0,0.19
0.98,0.0,0.0,303,0.015,0.005
0.595,0.0,0.03,304,0.15,0.225
0.005,0.005,0.385,305,0.04,0.565
0.27,0.0,0.135,306,0.555,0.04
0.91,0.04,0.0,307,0.025,0.025
0.41,0.01,0.02,308,0.11,0.45
0.72,0.0,0.0,309,0.21,0.07
0.085,0.02,0.04,310,0.0,0.855
0.32,0.0,0.04,311,0.21,0.43
0.74,0.0,0.01,312,0.01,0.24
0.02,0.005,0.195,313,0.0,0.78
0.29,0.0,0.09,314,0.51,0.11
0.01,0.06,0.025,315,0.01,0.895
0.64,0.0,0.005,316,0.28,0.075
0.68,0.0,0.04,317,0.13,0.15
0.69,0.0,0.0,318,0.155,0.155
0.0,0.03,0.01,319,0.105,0.855
0.305,0.0,0.02,320,0.405,0.27
0.375,0.02,0.02,321,0.22,0.365
0.0,0.0,0.0,322,0.0,1.0
0.0,0.005,0.0,323,0.0,0.995
0.76,0.0,0.015,324,0.015,0.21
0.905,0.0,0.0,325,0.015,0.08
0.84,0.01,0.0,326,0.135,0.015
0.695,0.0,0.0,327,0.035,0.27
0.515,0.0,0.02,328,0.31,0.155
0.61,0.0,0.0,329,0.31,0.08
0.015,0.01,0.07,330,0.21,0.695
0.28,0.01,0.17,331,0.42,0.12
0.0,0.0,0.0,332,0.0,1.0
0.995,0.0,0.0,333,0.005,0.0
0.295,0.0,0.005,334,0.055,0.645
0.005,0.055,0.05,335,0.025,0.865
0.7,0.0,0.01,336,0.015,0.275
0.01,0.0,0.765,337,0.01,0.215
0.125,0.0,0.025,338,0.1,0.75
0.04,0.01,0.095,339,0.13,0.725
0.45,0.095,0.075,340,0.335,0.045
0.04,0.005,0.025,341,0.195,0.735
0.8,0.005,0.015,342,0.035,0.145
0.015,0.03,0.485,343,0.185,0.285
0.55,0.0,0.005,344,0.355,0.09
0.51,0.01,0.005,345,0.04,0.435
0.46,0.005,0.07,346,0.32,0.145
0.085,0.0,0.02,347,0.78,0.115
0.085,0.01,0.005,348,0.005,0.895
0.165,0.005,0.045,349,0.72,0.065
0.31,0.005,0.095,350,0.395,0.195
0.785,0.005,0.01,351,0.12,0.08
0.0,0.0,0.085,352,0.0,0.915
0.305,0.005,0.005,353,0.59,0.095
0.525,0.0,0.0,354,0.0,0.475
0.56,0.0,0.04,355,0.155,0.245
0.005,0.2,0.61,356,0.0,0.185
0.475,0.005,0.05,357,0.135,0.335
0.49,0.0,0.0,358,0.09,0.42
0.255,0.065,0.065,359,0.0,0.615
0.555,0.0,0.005,360,0.03,0.41
0.9,0.0,0.0,361,0.0,0.1
0.09,0.0,0.06,362,0.23,0.62
0.23,0.0,0.035,363,0.585,0.15
0.755,0.035,0.0,364,0.0,0.21
0.505,0.0,0.01,365,0.045,0.44
0.0,0.01,0.865,366,0.01,0.115
0.395,0.0,0.0,367,0.04,0.565
0.04,0.035,0.365,368,0.245,0.315
0.0,0.0,0.03,369,0.0,0.97
0.55,0.0,0.01,370,0.04,0.4
0.605,0.0,0.03,371,0.15,0.215
0.75,0.0,0.0,372,0.175,0.075
1.0,0.0,0.0,373,0.0,0.0
0.205,0.02,0.015,374,0.53,0.23
0.0,0.0,0.005,375,0.0,0.995
0.33,0.0,0.015,376,0.59,0.065
0.47,0.0,0.11,377,0.205,0.215
0.635,0.005,0.02,378,0.295,0.045
0.2,0.0,0.01,379,0.07,0.72
0.2,0.08,0.03,380,0.0,0.69
0.865,0.0,0.01,381,0.075,0.05
0.0,0.0,0.025,382,0.0,0.975
0.0,0.0,0.005,383,0.0,0.995
0.01,0.0,0.44,384,0.005,0.545
0.4,0.0,0.03,385,0.47,0.1
0.18,0.0,0.01,386,0.56,0.25
0.0,0.0,0.005,387,0.0,0.995
0.51,0.0,0.005,388,0.38,0.105
0.865,0.0,0.005,389,0.03,0.1
1.0,0.0,0.0,390,0.0,0.0
0.11,0.005,0.265,391,0.415,0.205
0.0,0.0,0.03,392,0.0,0.97
1.0,0.0,0.0,393,0.0,0.0
0.005,0.025,0.02,394,0.005,0.945
0.22,0.0,0.01,395,0.505,0.265
0.21,0.01,0.085,396,0.51,0.185
0.05,0.0,0.1,397,0.425,0.425
0.445,0.045,0.055,398,0.015,0.44
0.58,0.0,0.005,399,0.265,0.15
0.715,0.005,0.0,400,0.045,0.235
0.99,0.0,0.0,401,0.005,0.005
0.56,0.0,0.01,402,0.145,0.285
0.74,0.0,0.015,403,0.225,0.02
0.0,0.0,0.015,404,0.0,0.985
0.165,0.0,0.005,405,0.04,0.79
0.51,0.0,0.045,406,0.385,0.06
0.71,0.005,0.0,407,0.015,0.27
0.165,0.01,0.055,408,0.475,0.295
0.935,0.0,0.0,409,0.065,0.0
0.0,0.035,0.085,410,0.0,0.88
0.085,0.035,0.075,411,0.64,0.165
0.975,0.0,0.0,412,0.005,0.02
0.6,0.0,0.025,413,0.195,0.18
0.97,0.0,0.0,414,0.01,0.02
0.46,0.0,0.055,415,0.375,0.11
1.0,0.0,0.0,416,0.0,0.0
0.56,0.0,0.03,417,0.335,0.075
0.58,0.0,0.01,418,0.235,0.175
0.925,0.0,0.0,419,0.025,0.05
0.715,0.0,0.0,420,0.06,0.225
0.85,0.0,0.005,421,0.13,0.015
0.0,0.01,0.01,422,0.005,0.975
0.0,0.115,0.115,423,0.0,0.77
0.94,0.01,0.005,424,0.005,0.04
0.56,0.0,0.04,425,0.105,0.295
0.015,0.18,0.125,426,0.175,0.505
0.91,0.0,0.0,427,0.05,0.04
0.01,0.01,0.57,428,0.015,0.395
0.06,0.0,0.01,429,0.12,0.81
0.0,0.005,0.145,430,0.0,0.85
0.495,0.0,0.0,431,0.12,0.385
0.37,0.0,0.035,432,0.4,0.195
0.28,0.005,0.035,433,0.205,0.475
0.405,0.0,0.025,434,0.385,0.185
0.0,0.0,0.03,435,0.0,0.97
0.0,0.0,0.0,436,0.0,1.0
0.545,0.015,0.005,437,0.03,0.405
0.425,0.0,0.01,438,0.335,0.23
0.0,0.0,0.005,439,0.0,0.995
0.475,0.005,0.0,440,0.07,0.45
0.0,0.08,0.735,441,0.0,0.185
0.73,0.0,0.01,442,0.115,0.145
0.805,0.0,0.0,443,0.125,0.07
0.35,0.0,0.015,444,0.52,0.115
0.475,0.0,0.025,445,0.46,0.04
0.445,0.0,0.135,446,0.145,0.275
0.34,0.0,0.025,447,0.195,0.44
0.105,0.005,0.02,448,0.0,0.87
0.51,0.01,0.13,449,0.01,0.34
0.08,0.025,0.02,450,0.205,0.67
0.0,0.0,0.005,451,0.0,0.995
0.315,0.0,0.17,452,0.11,0.405
0.6,0.0,0.005,453,0.375,0.02
0.0,0.0,0.04,454,0.0,0.96
0.42,0.01,0.02,455,0.335,0.215
0.765,0.0,0.01,456,0.205,0.02
0.8,0.0,0.01,457,0.025,0.165
0.065,0.0,0.25,458,0.345,0.34
0.56,0.0,0.0,459,0.045,0.395
0.0,0.01,0.035,460,0.0,0.955
0.585,0.0,0.005,461,0.33,0.08
0.34,0.0,0.05,462,0.44,0.17
0.0,0.03,0.17,463,0.02,0.78
0.015,0.005,0.28,464,0.12,0.58
0.435,0.0,0.015,465,0.38,0.17
0.655,0.0,0.005,466,0.215,0.125
0.02,0.02,0.36,467,0.205,0.395
0.72,0.0,0.01,468,0.24,0.03
0.38,0.0,0.005,469,0.275,0.34
0.335,0.0,0.02,470,0.115,0.53
0.015,0.095,0.51,471,0.005,0.375
0.0,0.005,0.515,472,0.31,0.17
0.975,0.0,0.0,473,0.0,0.025
0.465,0.005,0.16,474,0.315,0.055
0.64,0.0,0.0,475,0.31,0.05
0.655,0.0,0.02,476,0.3,0.025
0.0,0.0,0.01,477,0.0,0.99
0.585,0.0,0.02,478,0.27,0.125
0.0,0.0,0.01,479,0.0,0.99
1.0,0.0,0.0,480,0.0,0.0
0.015,0.0,0.085,481,0.595,0.305
0.21,0.015,0.085,482,0.36,0.33
0.37,0.015,0.005,483,0.545,0.065
0.025,0.1,0.1,484,0.055,0.72
0.69,0.015,0.005,485,0.13,0.16
0.015,0.0,0.105,486,0.65,0.23
0.855,0.0,0.0,487,0.07,0.075
0.58,0.0,0.005,488,0.33,0.085
0.19,0.02,0.115,489,0.005,0.67
0.0,0.04,0.005,490,0.0,0.955
0.0,0.0,0.0,491,0.0,1.0
0.025,0.0,0.19,492,0.54,0.245
0.335,0.015,0.005,493,0.555,0.09
0.68,0.0,0.02,494,0.22,0.08
0.075,0.005,0.02,495,0.06,0.84
0.395,0.0,0.005,496,0.125,0.475
0.37,0.0,0.0,497,0.24,0.39
0.585,0.0,0.005,498,0.23,0.18
0.885,0.0,0.005,499,0.06,0.05
0.23,0.0,0.09,500,0.43,0.25
0.855,0.01,0.005,501,0.015,0.115
0.535,0.0,0.04,502,0.275,0.15
0.555,0.01,0.085,503,0.145,0.205
0.875,0.0,0.005,504,0.005,0.115
0.18,0.0,0.035,505,0.645,0.14
0.39,0.0,0.02,506,0.36,0.23
0.095,0.005,0.22,507,0.485,0.195
0.49,0.0,0.07,508,0.275,0.165
0.435,0.0,0.16,509,0.195,0.21
0.835,0.0,0.0,510,0.0,0.165
0.56,0.0,0.005,511,0.1,0.335
0.11,0.015,0.12,512,0.67,0.085
0.54,0.0,0.04,513,0.345,0.075
0.065,0.0,0.02,514,0.02,0.895
0.525,0.0,0.09,515,0.215,0.17
0.31,0.0,0.035,516,0.315,0.34
0.1,0.0,0.22,517,0.14,0.54
0.32,0.01,0.035,518,0.2,0.435
0.0,0.0,0.0,519,0.0,1.0
0.0,0.005,0.015,520,0.005,0.975
0.595,0.005,0.02,521,0.335,0.045
0.16,0.0,0.045,522,0.115,0.68
0.84,0.005,0.005,523,0.11,0.04
0.255,0.0,0.015,524,0.165,0.565
0.645,0.0,0.0,525,0.0,0.355
0.22,0.015,0.055,526,0.53,0.18
0.28,0.0,0.015,527,0.165,0.54
0.115,0.0,0.015,528,0.595,0.275
0.015,0.025,0.025,529,0.0,0.935
0.815,0.0,0.005,530,0.025,0.155
0.0,0.015,0.035,531,0.0,0.95
0.555,0.0,0.005,532,0.4,0.04
0.91,0.0,0.005,533,0.01,0.075
0.72,0.0,0.005,534,0.095,0.18
0.01,0.02,0.3,535,0.0,0.67
0.815,0.0,0.01,536,0.03,0.145
0.63,0.0,0.0,537,0.32,0.05
0.44,0.005,0.025,538,0.17,0.36
0.325,0.01,0.03,539,0.5,0.135
0.025,0.005,0.37,540,0.23,0.37
0.0,0.0,0.04,541,0.92,0.04
0.0,0.0,0.025,542,0.0,0.975
0.895,0.0,0.0,543,0.005,0.1
0.0,0.0,0.005,544,0.0,0.995
0.0,0.0,0.0,545,0.0,1.0
0.525,0.0,0.0,546,0.455,0.02
0.0,0.0,0.04,547,0.0,0.96
0.67,0.0,0.015,548,0.205,0.11
0.01,0.025,0.26,549,0.35,0.355
0.0,0.0,0.0,550,0.0,1.0
0.63,0.0,0.005,551,0.04,0.325
0.705,0.0,0.04,552,0.1,0.155
0.72,0.0,0.005,553,0.17,0.105
0.525,0.005,0.045,554,0.045,0.38
0.0,0.0,0.005,555,0.0,0.995
0.18,0.0,0.195,556,0.09,0.535
0.035,0.0,0.14,557,0.61,0.215
0.855,0.0,0.0,558,0.075,0.07
0.985,0.0,0.0,559,0.0,0.015
0.265,0.0,0.035,560,0.595,0.105
0.485,0.0,0.005,561,0.485,0.025
0.285,0.01,0.135,562,0.49,0.08
0.045,0.0,0.085,563,0.445,0.425
0.69,0.0,0.0,564,0.255,0.055
0.03,0.0,0.22,565,0.02,0.73
0.38,0.0,0.02,566,0.155,0.445
0.0,0.005,0.035,567,0.0,0.96
0.66,0.0,0.025,568,0.23,0.085
0.505,0.0,0.045,569,0.35,0.1
0.44,0.0,0.005,570,0.235,0.32
0.92,0.0,0.0,571,0.075,0.005
0.49,0.0,0.035,572,0.375,0.1
0.035,0.0,0.11,573,0.175,0.68
0.0,0.005,0.09,574,0.0,0.905
0.895,0.0,0.005,575,0.065,0.035
0.99,0.0,0.0,576,0.005,0.005
0.305,0.005,0.035,577,0.57,0.085
0.155,0.0,0.0,578,0.0,0.845
0.035,0.0,0.12,579,0.025,0.82
0.705,0.005,0.005,580,0.16,0.125
0.33,0.0,0.03,581,0.345,0.295
0.0,0.005,0.115,582,0.005,0.875
0.3,0.0,0.02,583,0.58,0.1
0.785,0.0,0.0,584,0.15,0.065
0.32,0.0,0.01,585,0.095,0.575
0.01,0.02,0.045,586,0.0,0.925
0.885,0.0,0.0,587,0.02,0.095
0.0,0.0,0.04,588,0.075,0.885
0.25,0.005,0.01,589,0.35,0.385
0.705,0.0,0.01,590,0.195,0.09
0.44,0.005,0.03,591,0.3,0.225
0.405,0.015,0.045,592,0.305,0.23
0.0,0.01,0.01,593,0.0,0.98
0.2,0.0,0.085,594,0.575,0.14
0.445,0.0,0.01,595,0.105,0.44
0.34,0.0,0.05,596,0.39,0.22
0.78,0.0,0.105,597,0.1,0.015
0.415,0.0,0.035,598,0.4,0.15
0.915,0.0,0.0,599,0.05,0.035
0.105,0.17,0.435,600,0.01,0.28
0.0,0.0,0.0,601,0.0,1.0
0.19,0.0,0.005,602,0.19,0.615
0.52,0.0,0.035,603,0.17,0.275
0.03,0.03,0.115,604,0.545,0.28
0.0,0.0,0.005,605,0.0,0.995
0.0,0.015,0.395,606,0.005,0.585
0.425,0.0,0.015,607,0.195,0.365
0.315,0.01,0.195,608,0.155,0.325
0.0,0.0,0.0,609,0.0,1.0
0.01,0.0,0.125,610,0.105,0.76
0.665,0.0,0.005,611,0.125,0.205
0.535,0.0,0.015,612,0.17,0.28
0.75,0.0,0.035,613,0.02,0.195
0.105,0.0,0.0,614,0.145,0.75
0.79,0.0,0.0,615,0.03,0.18
0.625,0.145,0.005,616,0.15,0.075
0.885,0.0,0.005,617,0.075,0.035
0.465,0.0,0.04,618,0.15,0.345
0.995,0.0,0.0,619,0.0,0.005
0.935,0.0,0.005,620,0.0,0.06
0.01,0.02,0.085,621,0.045,0.84
0.72,0.005,0.025,622,0.2,0.05
0.185,0.0,0.06,623,0.09,0.665
0.38,0.0,0.07,624,0.46,0.09
0.42,0.0,0.015,625,0.335,0.23
0.18,0.005,0.045,626,0.105,0.665
0.275,0.0,0.035,627,0.195,0.495
0.075,0.115,0.235,628,0.0,0.575
0.45,0.0,0.01,629,0.505,0.035
0.0,0.0,0.01,630,0.0,0.99
0.225,0.005,0.11,631,0.48,0.18
0.855,0.0,0.0,632,0.11,0.035
0.645,0.0,0.0,633,0.025,0.33
